when, where, who, what, hours, stage
2024-07-09, grape seed, daniel jojo, TSI REP, 1.5, 
2024-07-09, home, daddy, REP, 0.5, 
2024-07-10, home, grandma, REP, 0.5, 
2024-07-11, grape seed, daniel jojo, TSI REP, 1.5, 
2024-07-11, home, mother, REP, 0.5, 
2024-07-12, home, mother, REP, 0.5, 
2024-07-13, grape seed, daniel jojo, TSI REP, 1.5, 
2024-07-13, home, mother, REP, 0.5, 
2024-07-14, home, mother, REP, 0.5, 
2024-07-15, home, mother, REP, 0.5, 
2024-07-16, home, mother, REP, 0.5, 
2024-07-16, grape seed, daniel jojo, TSI REP, 1.5, 
2024-07-17, home, mother, REP, 0.5, 
2024-07-18, grape seed, daniel jojo, TSI REP, 1.5, 
2024-07-18, home, mother, REP, 0.5, 
2024-07-19, home, daddy, REP, 0.5, 
2024-07-20, home, daddy, REP, 0.5, 
2024-07-20, grape seed, daniel jojo, TSI REP, 1.5, 
2024-07-21, home, daddy, REP, 0.5, 
2024-07-22, home, mother, REP, 0.5, 
2024-07-23, home, mother, REP, 0.5, 
2024-07-24, home, grandma, REP, 0.5, 
2024-07-25, home, grandma, REP, 0.5, 
2024-07-26, home, grandma, REP, 0.5, 
2024-07-27, home, mother, REP, 0.5, 
2024-07-28, home, mother, REP, 0.5, 
2024-07-29, home, daddy, REP, 0.5, 
2024-07-30, home, grandma, REP, 0.5, 
